Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date
Jet,https://www.crunchbase.com/organization/jet,Series B,140000000,2/11/15
Databricks,https://www.crunchbase.com/organization/databricks,Series D,140000000,8/22/17
Blue Apron,https://www.crunchbase.com/organization/blue-apron,Series D,135000000,6/9/15
Juno Therapeutics,https://www.crunchbase.com/organization/juno-therapeutics,Series B,134000000,8/5/14
Musical.ly,https://www.crunchbase.com/organization/musical-ly,Series C,130000000,5/13/16
Katerra,https://www.crunchbase.com/organization/katerra,Series C,130000000,4/13/17
Denali Therapeutics,https://www.crunchbase.com/organization/denali-therapeutics,Series B,130000000,8/25/16
Flatiron Health,https://www.crunchbase.com/organization/flatiron-health,Series B,130000000,5/7/14
Zymergen,https://www.crunchbase.com/organization/zymergen,Series B,130000000,10/11/16
Clover Health,https://www.crunchbase.com/organization/clover-health,Series D,130000000,5/10/17
DoorDash,https://www.crunchbase.com/organization/doordash,Series C,127000000,3/22/16
Bread,https://www.crunchbase.com/organization/bread,Series B,126000000,8/2/17
Illumio,https://www.crunchbase.com/organization/illumio,Series D,125000000,6/7/17
Juno Therapeutics,https://www.crunchbase.com/organization/juno-therapeutics,Series A,120000000,12/3/13
Editas Medicine,https://www.crunchbase.com/organization/editas-medicine,Series B,120000000,8/10/15
Rubius Therapeutics,https://www.crunchbase.com/organization/rubius-therapeutics,Series B,120000000,6/21/17
21 Inc,https://www.crunchbase.com/organization/21e6,Series B,116000000,3/10/15
Desktop Metal,https://www.crunchbase.com/organization/desktop-metal,Series D,115000000,7/17/17
Thrive Market,https://www.crunchbase.com/organization/thrive-market,Series B,111000000,6/27/16
Robinhood,https://www.crunchbase.com/organization/analyst,Series C,110000000,4/26/17
Ring,https://www.crunchbase.com/organization/ring,Series D,109000000,1/25/17
JetSmarter,https://www.crunchbase.com/organization/jetsmarter,Series C,105000000,12/12/16
Pivotal,https://www.crunchbase.com/organization/pivotal,Series B,105000000,4/24/13
Onshape,https://www.crunchbase.com/organization/onshape-inc-,Series D,105000000,4/14/16
Gritstone oncology,https://www.crunchbase.com/organization/gritstone-oncology,Series A,102000000,10/20/15
CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series A,100000000,2/23/17
Clover Health,https://www.crunchbase.com/organization/clover-health,Series A,100000000,9/18/15
Diamond Foundry,https://www.crunchbase.com/organization/diamond-foundry,Series A,100000000,11/15/15
GRAIL,https://www.crunchbase.com/organization/grail,Series A,100000000,1/12/16
Helix,https://www.crunchbase.com/organization/helix,Series A,100000000,8/15/15
letgo,https://www.crunchbase.com/organization/letgo,Series A,100000000,9/3/15
Via,https://www.crunchbase.com/organization/via-transportation,Series C,100000000,5/5/16
Boxed,https://www.crunchbase.com/organization/boxed,Series C,100000000,1/20/16
Illumio,https://www.crunchbase.com/organization/illumio,Series C,100000000,4/14/15
Carbon,https://www.crunchbase.com/organization/carbon3d,Series C,100000000,8/20/15
Indigo,https://www.crunchbase.com/organization/indigoag,Series C,100000000,7/21/16
AltSchool,https://www.crunchbase.com/organization/altschool,Series B,100000000,5/4/15
letgo,https://www.crunchbase.com/organization/letgo,Series B,100000000,5/12/16
Coinbase,https://www.crunchbase.com/organization/coinbase,Series D,100000000,8/10/17
Blend,https://www.crunchbase.com/organization/blend-labs,Series D,100000000,8/24/17
Snowflake Computing,https://www.crunchbase.com/organization/snowflake-computing,Series D,100000000,4/5/17
Cybereason,https://www.crunchbase.com/organization/cybereason,Series D,100000000,6/20/17
Cylance,https://www.crunchbase.com/organization/cylance,Series D,100000000,6/8/16
Guardant Health,https://www.crunchbase.com/organization/guardant-health,Series D,100000000,1/7/16
Affirm,https://www.crunchbase.com/organization/affirm,Series D,100000000,4/13/16
Kernel,https://www.crunchbase.com/organization/kernel-co,Seed,100000000,10/20/16
Vroom,https://www.crunchbase.com/organization/vroom-com,Series D,95000000,12/16/15
Turing Pharmaceuticals,https://www.crunchbase.com/organization/turing-pharmaceuticals,Series A,90000000,8/10/15
YI Technology,https://www.crunchbase.com/organization/yi-technology,Series A,90000000,8/31/16
Cohesity,https://www.crunchbase.com/organization/cohesity,Series C,90000000,4/4/17
Uptake,https://www.crunchbase.com/organization/uptake-3,Series C,90000000,4/6/17
Blink Health,https://www.crunchbase.com/organization/blink-health,Series B,90000000,4/12/17
Carvana,https://www.crunchbase.com/organization/carvana,Series B,90000000,5/15/15
Quanergy Systems,https://www.crunchbase.com/organization/quanergy,Series B,90000000,8/22/16
UrGift,https://www.crunchbase.com/organization/urgift,Seed,89701750,7/1/12
CYNGN,https://www.crunchbase.com/organization/cyanogen,Series C,85000000,3/23/15
Homology Medicines,https://www.crunchbase.com/organization/homology-medicines,Series B,83500000,8/1/17
Carbon,https://www.crunchbase.com/organization/carbon3d,Series C,81000000,9/15/16
Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series C,81000000,10/20/15
ALPHAEON Corporation,https://www.crunchbase.com/organization/alphaeon,Series B,80060118,11/20/15
Bright Health,https://www.crunchbase.com/organization/bright-health,Series A,80000000,4/5/16
Human Longevity,https://www.crunchbase.com/organization/human-longevity,Series A,80000000,3/4/14
Opendoor,https://www.crunchbase.com/organization/opendoor-2,Series C,80000000,10/14/15
Hyperloop One,https://www.crunchbase.com/organization/hyperloop-technolgies,Series B,80000000,5/10/16
Oscar,https://www.crunchbase.com/organization/oscar,Series B,80000000,5/14/14
ServiceTitan,https://www.crunchbase.com/organization/servicetitan,Series B,80000000,3/15/17
Royole Corporation,https://www.crunchbase.com/organization/royole-corporation,Series D,80000000,11/15/16
Marlette Funding,https://www.crunchbase.com/organization/marlene-funding,Series B,79391752,9/17/14
Snowflake Computing,https://www.crunchbase.com/organization/snowflake-computing,Series C,79000000,6/23/15
Freshly,https://www.crunchbase.com/organization/freshly,Series C,77000000,6/20/17
Katerra,https://www.crunchbase.com/organization/katerra,Series A,75573028,3/28/16
Blink Health,https://www.crunchbase.com/organization/blink-health,Series A,75000000,4/12/16
Forty Seven,https://www.crunchbase.com/organization/forty-seven,Series A,75000000,2/25/16
Vessel,https://www.crunchbase.com/organization/vessel-2,Series A,75000000,6/24/14
Coinbase,https://www.crunchbase.com/organization/coinbase,Series C,75000000,1/20/15
Avant,https://www.crunchbase.com/organization/avant-credit,Series C,75000000,7/23/14
Viptela,https://www.crunchbase.com/organization/viptela,Series C,75000000,5/25/16
IEX Group,https://www.crunchbase.com/organization/iex,Series C,75000000,9/2/14
Corvus Pharmaceuticals,https://www.crunchbase.com/organization/corvus-pharmaceuticals,Series B,75000000,9/25/15
Earnest,https://www.crunchbase.com/organization/earnest,Series B,75000000,11/17/15
Oculus,https://www.crunchbase.com/organization/oculus-vr,Series B,75000000,12/12/13
Ovid Therapeutics,https://www.crunchbase.com/organization/ovid-therapeutics,Series B,75000000,8/11/15
WuXi NextCODE,https://www.crunchbase.com/organization/nextcode-health,Series B,75000000,5/2/17
Netskope,https://www.crunchbase.com/organization/netskope,Series D,75000000,9/3/15
Peloton,https://www.crunchbase.com/organization/peloton-interactive,Series D,75000000,12/2/15
Compass,https://www.crunchbase.com/organization/compassinc,Series D,75000000,8/31/16
PMV Pharmaceutcals,https://www.crunchbase.com/organization/pmv-pharmaceutcals-inc,Series B,74000000,2/22/17
Mesosphere,https://www.crunchbase.com/organization/mesosphere,Series C,73500000,3/24/16
C4 Therapeutics,https://www.crunchbase.com/organization/c4-therapeutics,Series A,73000000,1/7/16
Spark Therapeutics,https://www.crunchbase.com/organization/spark-therapeutics,Series B,72800000,5/27/14
Giphy,https://www.crunchbase.com/organization/giphy,Series D,72000000,10/31/16
ClassPass,https://www.crunchbase.com/organization/classpass,Series C,70000000,6/16/17
SentinelOne,https://www.crunchbase.com/organization/sentinel,Series C,70000000,1/25/17
LendingHome,https://www.crunchbase.com/organization/lendinghome,Series C,70000000,3/23/15
Elastic,https://www.crunchbase.com/organization/elasticsearch,Series C,70000000,6/5/14
Arcus Biosciences,https://www.crunchbase.com/organization/arcus-biosciences,Series B,70000000,9/1/16
Beepi,https://www.crunchbase.com/organization/beepi,Series B,70000000,8/1/15
Defy Media,https://www.crunchbase.com/organization/defy-media,Series B,70000000,9/13/16
Flipagram,https://www.crunchbase.com/organization/flipagram,Series B,70000000,7/16/15
Intellia Therapeutics,https://www.crunchbase.com/organization/intellia-therapeutics,Series B,70000000,9/1/15
Juicero,https://www.crunchbase.com/organization/juicero,Series B,70000000,3/31/16
Neon Therapeutics,https://www.crunchbase.com/organization/neon-therapeutics,Series B,70000000,1/5/17
DataRobot,https://www.crunchbase.com/organization/datarobot,Series C,67180000,7/27/17
NextCure,https://www.crunchbase.com/organization/nextcure,Series A,67000000,1/6/16
Zenefits,https://www.crunchbase.com/organization/zenefits,Series B,66500000,6/3/14
Wave Life Sciences,https://www.crunchbase.com/organization/wave-life-sciences,Series B,66000000,8/18/15
Memebox Corporation,https://www.crunchbase.com/organization/memebox,Series C,65950000,8/9/16
Aptinyx,https://www.crunchbase.com/organization/aptinyx,Series A,65000000,5/10/16
Freenome,https://www.crunchbase.com/organization/freenome,Series A,65000000,3/1/17
Cadre,https://www.crunchbase.com/organization/cadre-2,Series C,65000000,6/6/17
