Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
LiquidLandscape,https://www.crunchbase.com/organization/progviz,"Information Technology, Data and Analytics, Software, Health Care, Financial Services, Design","San Francisco, California, United States",Liquid Landscape is a developer of applications that apply visualization to data and information.,"41,119",7/1/13,,1,3/23/15,118000,Seed,118000,Operating
Nightingale,https://www.crunchbase.com/organization/nightingale,"Information Technology, Data and Analytics, Software, Health Care","San Francisco, California, United States",Clinical Decision Support Software for Evidence-Based Autism Treatments,"21,481",7/23/13,,3,3/24/15,660000,Seed,780000,Operating
Tap Tap LLC,https://www.crunchbase.com/organization/tap-tap-llc,"Travel and Tourism, Community and Lifestyle, Advertising","Charlottesville, Virginia, United States","Tap Tap LLC is the creator of MINIKAST, a geo-fenced social networking application for hospitality and entertainment venues.","41,557",6/6/14,,1,3/24/15,295000,Seed,295000,Operating
harvest.ai,https://www.crunchbase.com/organization/harvest-ai,"Science and Engineering, Information Technology, Data and Analytics, Software, Privacy and Security, Artificial Intelligence","San Diego, California, United States","Harvest.ai is a data security firm that enables organizations to identify and stop data breaches, insider threats, and stolen credentials.","5,224",9/1/14,,3,3/24/15,2300000,Seed,2793000,Was Acquired
Oomnitza,https://www.crunchbase.com/organization/oomnitza,"Software, Mobile","San Francisco, California, United States",Oomnitza provides SaaS-based IT asset management solutions.,"13,181",2/21/12,,3,3/25/15,2360598,Seed,2610598,Operating
"Stealz, Inc.",https://www.crunchbase.com/organization/stealz,"Apps, Media and Entertainment, Software, Sales and Marketing, Content and Publishing, Mobile","Raleigh, North Carolina, United States",Stealz is a social media engagement tool that helps businesses turn their customers into brand ambassadors.,"27,433",11/20/12,,2,3/25/15,1000000,Seed,1488000,Operating
Jurispect,https://www.crunchbase.com/organization/jurispect,"Data and Analytics, Software, Professional Services","San Francisco, California, United States",Jurispect is a regulatory intelligence platform that empowers users to monitor the changing regulatory landscape in a single interface.,"19,410",1/1/14,,2,3/25/15,2000000,Seed,2000000,Operating
DroneView Technologies,https://www.crunchbase.com/organization/droneview-technologies,"Hardware, Information Technology, Consumer Electronics, Consumer Goods","Bloomfield Hills, Michigan, United States",A leading drone services company äóñ aerial acquisition and photogrammetric processing for high precision mapping and stockpile measurement,"28,874",1/1/14,,1,3/25/15,2000000,Seed,2000000,Operating
Cortex,https://www.crunchbase.com/organization/cortex-4,"Science and Engineering, Media and Entertainment, Data and Analytics, Software, Sales and Marketing, Internet Services, Artificial Intelligence, Advertising","Boston, Massachusetts, United States",Cortex helps marketers create engaging content. Cortex has an artificial Intelligence platform that predicts how humans react to content,"18,641",2/1/14,,1,3/25/15,500000,Seed,500000,Operating
Vrideo,https://www.crunchbase.com/organization/vrideo,"Hardware, Media and Entertainment, Software, Internet Services, Video, Content and Publishing","Los Angeles, California, United States","Vrideo is a virtual reality start-up building a streaming, hardware-agnostic, and independent immersive video distribution platform.","15,115",5/1/14,,1,3/25/15,1800000,Seed,1800000,Operating
Standard Analytics IO,https://www.crunchbase.com/organization/standard-analytics,"Media and Entertainment, Software, Internet Services, Content and Publishing","New York, New York, United States",where science is published,"17,301",2/4/14,,2,3/27/15,1080000,Seed,1280000,Operating
Smooch Labs Inc.,https://www.crunchbase.com/organization/smooch-labs-inc,"Apps, Software, Mobile","New York, New York, United States",Re-inventing the mobile dating experience,"16,759",1/6/14,,1,3/27/15,5000000,Seed,5000000,Was Acquired
