Company Name,Company Name URL,Category Groups,Headquarters Location,Description,Crunchbase Rank,Founded Date,Closed Date,Number of Funding Rounds,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount,Status
Pixilated,https://www.crunchbase.com/organization/pixilated,"Media and Entertainment, Events, Sales and Marketing","Baltimore, Maryland, United States","Pixilated provides an open-air photo booth with a built-in touch screen, camera, light and printer.","30,551",1/5/12,,1,1/10/17,500000,Seed,500000,Operating
"Yet Analytics, Inc.",https://www.crunchbase.com/organization/yet-analytics-inc-,"Data and Analytics, Software, Internet Services, Artificial Intelligence","Baltimore, Maryland, United States",Experience Intelligence in Human Capital Analytics,"12,613",11/10/14,,2,1/10/17,1000000,Seed,2300000,Operating
Value Innovation Technologies,https://www.crunchbase.com/organization/value-innovation-technologies,Information Technology,"Charlotte, North Carolina, United States",it is an award-winning SaaS (software-as-a-service) technology and consulting company,"17,690",1/1/15,,1,1/10/17,2500000,Seed,2500000,Operating
Staffjoy,https://www.crunchbase.com/organization/staffjoy,"Science and Engineering, Information Technology, Data and Analytics, Software, Artificial Intelligence","San Francisco, California, United States",Staffjoy helps automate the process of scheduling shifts for businesses to help managers staff effectively.,"13,106",1/1/15,,3,1/10/17,1200000,Seed,1212000,Operating
SkyLights,https://www.crunchbase.com/organization/skylights,"Travel and Tourism, Hardware, Media and Entertainment, Software, Transportation","San Mateo, California, United States",SkyLights puts VR headsets on planes as passenger inflight entertainment,"53,252",2/9/15,,2,1/10/17,1300000,Seed,1300000,Operating
Naturally Perfect Dolls,https://www.crunchbase.com/organization/naturally-perfect-dolls,"Consumer Goods, Design","Florida, United States, North America","Like most young girls with kinky/curly hair, my daughter Sophia was not happy with her kinks","32,082",1/1/15,,1,1/10/17,200000,Seed,200000,Operating
Mac & Mia,https://www.crunchbase.com/organization/mac---mia,"Hardware, Commerce and Shopping, Consumer Electronics, Consumer Goods, Internet Services","Chicago, Illinois, United States",Mac & Mia is a personalized at-home shopping experience for parents that offers clothing pieces for newborns up to six-year-old children.,"10,325",1/1/14,,1,1/11/17,3000000,Seed,3000000,Operating
AdmitHub,https://www.crunchbase.com/organization/admithub,"Information Technology, Software, Education","Boston, Massachusetts, United States","AdmitHub offers free, expert admissions advising to all applicants everywhere.","7,774",8/1/14,,2,1/11/17,2950000,Seed,3678000,Operating
Decorator,https://www.crunchbase.com/organization/decorator,"Real Estate, Consumer Goods, Design, Mobile","Los Angeles, California, United States",Platform to crowdsource interior design,"19,332",1/1/16,,1,1/11/17,250000,Seed,250000,Operating
Hellosnap,https://www.crunchbase.com/organization/hellosnap,,"Venice, California, United States",The easiest way to exchange contacts.,"33,744",1/11/17,,1,1/11/17,15000,Seed,15000,Operating
"HealthTechApps, Inc.",https://www.crunchbase.com/organization/healthtech-apps,"Apps, Software, Health Care","Honolulu, Hawaii, United States","We design technologies that help athletes and doctors, monitor and manage head injuries using video features on their mobile device.","28,719",11/12/12,,2,1/12/17,50000,Seed,75000,Operating
Dash Hudson,https://www.crunchbase.com/organization/dash-hudson,"Data and Analytics, Sales and Marketing","New York, New York, United States",The Millennial Marketing Platform,"21,214",10/1/13,,3,1/12/17,2000000,Seed,2127948,Operating
Monsarrat,https://www.crunchbase.com/organization/monsarrat,"Gaming, Apps, Hardware, Software, Mobile","Cambridge, Massachusetts, United States",The world's most qualified team to surpass Pokemon Go with a technology platform for AR gaming,"23,450",9/4/16,,1,1/12/17,170000,Seed,170000,Operating
maroon.ai,https://www.crunchbase.com/organization/maroon-ai,Data and Analytics,"Philadelphia, Pennsylvania, United States",Maroon.ai is a predictive analytics platform that provides marketing intelligence to B2B companies.,"22,082",9/1/16,,1,1/12/17,50000,Seed,50000,Operating
CarPortal,https://www.crunchbase.com/organization/carportal,,"Stockton, California, United States","CarPortal helps you buy a great car without the hassle of going to a dealership. We offer online shopping, easy financing and home delivery.","39,564",5/5/16,,1,1/12/17,100000,Seed,100000,Operating
Ascent360,https://www.crunchbase.com/organization/ascent360,"Commerce and Shopping, Sales and Marketing, Advertising","Golden, Colorado, United States",Helping marketers turn their customer data into insights and income,"12,236",10/1/13,,1,1/13/17,1900000,Seed,1900000,Operating
Pulpix,https://www.crunchbase.com/organization/pulpix,"Science and Engineering, Media and Entertainment, Data and Analytics, Software, Video, Artificial Intelligence","New York, New York, United States",An Artificial Intelligence Platform for Video Publishers.,"12,990",5/1/14,,3,1/13/17,850000,Seed,970000,Operating
Junzi Kitchen,https://www.crunchbase.com/organization/junzi-kitchen,Food and Beverage,"New Haven, Connecticut, United States","Founded by a group of graduate students from Yale University, Junzi Kitchen offers a new Chinese food dining experience.","27,849",1/1/13,,1,1/15/17,2000000,Seed,2000000,Operating
FarmX,https://www.crunchbase.com/organization/farmx,"Agriculture and Farming, Food and Beverage","Redwood City, California, United States",FarmX offers a precision agriculture platform for optimizing costs and increasing yields for farmers.,"11,592",10/12/14,,2,1/15/17,1500000,Seed,1500000,Operating
MobileServe,https://www.crunchbase.com/organization/mobileserve,"Apps, Hardware, Software, Sales and Marketing","Louisville, Kentucky, United States",MobileServe is a mobile application developer that enables its users to manage volunteerism within their organizations.,"25,092",3/1/15,,2,1/15/17,1000000,Seed,1015000,Operating
Level Therapy,https://www.crunchbase.com/organization/level-therapy,Health Care,"San Francisco, California, United States",Level Therapy is a platform that provides patients with treatment tools and video access to psychotherapists.,"20,944",8/9/15,,1,1/15/17,125000,Seed,125000,Operating
Houspoon,https://www.crunchbase.com/organization/houspoon,"Apps, Food and Beverage, Software, Transportation, Mobile","San Jose, California, United States",Houspoon is a mobile platform that allows people to find homemade food nearby from hosts that like to prepare and share dishes.,"27,574",12/17/16,,1,1/15/17,100000,Seed,100000,Operating
BINO,https://www.crunchbase.com/organization/bino,,"New York, New York, United States",BINO allows you to measure customer experience with the help of mystery shopper visits in 100% self-service mode,"26,669",2/22/16,,2,1/15/17,130000,Seed,330000,Operating
Lighthouse.io,https://www.crunchbase.com/organization/lighthouse-io,"Navigation and Mapping, Data and Analytics, Software, Internet Services, Mobile","New York, New York, United States","Lighthouse.io is a mobile first platform that makes it simple to locate, interact with, and optimize frontline workers and assets","9,176",1/1/14,,1,1/16/17,1250000,Seed,1250000,Operating
FoodieTrip,https://www.crunchbase.com/organization/foodietrip,,"New York, New York, United States","FoodieTrip is an online marketplace for people to list, discover, and book once in a lifetime culinary adventures.","32,281",1/1/15,,2,1/16/17,50000,Seed,50000,Operating
Timekit,https://www.crunchbase.com/organization/timekit,"Data and Analytics, Software, Mobile","San Francisco, California, United States",Timekit empowers developers and designers through a set of unified APIs that deliver the entire booking infrastructure.,"11,519",1/1/15,,1,1/17/17,1700000,Seed,1700000,Operating
Sequr,https://www.crunchbase.com/organization/sequr,"Privacy and Security, Mobile","Atlanta, Georgia, United States",Cloud-based access control platform that enables mobile access and automation for companies with one office or a global footprint.,"9,836",1/30/15,,3,1/17/17,1750000,Seed,2175000,Operating
TellusLabs,https://www.crunchbase.com/organization/telluslabs,"Agriculture and Farming, Navigation and Mapping, Data and Analytics, Software, Internet Services, Artificial Intelligence","Somerville, Massachusetts, United States",TellusLabs is a satellite imagery and machine learning company.,"3,436",6/1/16,,1,1/17/17,3100000,Seed,3100000,Operating
TeamDom,https://www.crunchbase.com/organization/teamdom,"Media and Entertainment, Sales and Marketing, Internet Services","Los Angeles, California, United States","TeamDom is a media conglomerate that builds brands, stories, celebrities, and businesses around teen entertainment and media.","9,746",1/1/16,,2,1/17/17,1000000,Seed,1000000,Operating
Sentrys,https://www.crunchbase.com/organization/sentrys,,"Plainfield, Illinois, United States",Data privacy and data ownership control in multiple credentials case,"43,595",6/1/16,,1,1/17/17,40000,Seed,40000,Operating
Arraiy,https://www.crunchbase.com/organization/arraiy,"Hardware, Data and Analytics, Software, Artificial Intelligence","Palo Alto, California, United States","A computer vision and machine learning platform for creators, film, AR, VR and game makers.","5,583",5/1/16,,1,1/17/17,3860000,Seed,3860000,Operating
Tinsley Studios,https://www.crunchbase.com/organization/tinsley-studios,,"Siler City, North Carolina, United States",We're changing the way new parents welcome their kids into the world through information and technology.,"41,312",1/17/17,,1,1/17/17,50000,Seed,50000,Operating
PASSO,https://www.crunchbase.com/organization/passo,"Commerce and Shopping, Information Technology, Privacy and Security","New York, New York, United States","PASSO, an online platform, enables shoppers to share and manage their personal shopping preferences and payment information with retailers.","14,396",5/1/13,,3,1/18/17,1800000,Seed,3230000,Operating
MacroFab,https://www.crunchbase.com/organization/macrofab,"Manufacturing, Hardware, Internet Services","Houston, Texas, United States",Cloud Manufacturing and Operations Automation for Electronics,"15,337",9/9/13,,4,1/18/17,3000000,Seed,5700000,Operating
Process Street,https://www.crunchbase.com/organization/process-street,"Software, Professional Services, Financial Services","New York, New York, United States","Process Street is a SaaS platform that lets non-technical teams create powerful, API driven workflows.","10,498",1/1/14,,2,1/18/17,1300000,Seed,1358000,Operating
Proof,https://www.crunchbase.com/organization/proof-mark-inc,"Data and Analytics, Software, Education","Phoenix, Arizona, United States",Analytics software that enables anyone äóñ not just trained analysts äóñ to take data and run fully time-shifted cause-and-effect analysis.,"44,420",4/8/15,,4,1/18/17,2400000,Seed,3508000,Operating
Iris Automation,https://www.crunchbase.com/organization/iris-automation-inc,"Science and Engineering, Hardware, Consumer Electronics, Data and Analytics, Software, Consumer Goods, Artificial Intelligence","San Francisco, California, United States",Iris Automation provides robust collision avoidance systems for industrial drones.,"6,234",1/1/15,,3,1/18/17,1500000,Seed,2000000,Operating
Laugh.ly,https://www.crunchbase.com/organization/laugh-radio,"Apps, Media and Entertainment, Music and Audio, Software, Mobile","San Francisco, California, United States",Laugh.ly is a mobile on-demand delivery system for spoken word recordings.,"7,369",2/18/16,,1,1/18/17,2250000,Seed,2250000,Operating
Dark Cubed,https://www.crunchbase.com/organization/dark-cubed,"Information Technology, Privacy and Security","Alexandria, Virginia, United States",Simply Intuitive Cyber Security,"11,101",2/15/14,,2,1/19/17,1250000,Seed,1750000,Operating
Komand,https://www.crunchbase.com/organization/komand,"Information Technology, Privacy and Security","Cambridge, Massachusetts, United States",Komand is a security orchestration and automation platform that empowers your team to automate and optimize security operations.,"8,037",11/1/15,,2,1/19/17,1250000,Seed,1250000,Was Acquired
Eloquent Labs,https://www.crunchbase.com/organization/eloquent-labs,"Science and Engineering, Commerce and Shopping, Data and Analytics, Software, Artificial Intelligence","Redwood City, California, United States",Eloquent Labs supplies artificial intelligence to augment and replace live chat customer support agents at eCommerce companies.,"8,534",1/1/16,,1,1/19/17,1500000,Seed,1500000,Operating
MyCircles,https://www.crunchbase.com/organization/mycircles,"Community and Lifestyle, Internet Services","Fort Lauderdale, Florida, United States",Afinity based social & dating networks,"27,070",7/28/14,,2,1/20/17,270000,Seed,358000,Operating
Sigma,https://www.crunchbase.com/organization/sigma-2,"Media and Entertainment, Health Care","San Francisco, California, United States",Sigma is an online platform for digital certifications for real-world achievements.,"4,352",1/1/15,,1,1/20/17,4350000,Seed,4350000,Operating
ForwardLane Inc,https://www.crunchbase.com/organization/forwardlane,"Science and Engineering, Data and Analytics, Software, Financial Services, Artificial Intelligence","New York, New York, United States",Applied AI company that brings strategic AI enablement to digital distribution and advisory in financial services.,"12,691",1/1/15,,3,1/22/17,450000,Seed,1025000,Operating
PenPal Schools,https://www.crunchbase.com/organization/penpal-schools,"Software, Education","Austin, Texas, United States",PenPal Schools connects students from around the world to learn together.,"10,275",8/31/12,,2,1/23/17,1250000,Seed,1250000,Operating
Homi,https://www.crunchbase.com/organization/homi,"Professional Services, Education","Minneapolis, Minnesota, United States",Connecting students with careers via their alumni,"18,113",1/1/15,,3,1/23/17,379560,Seed,479560,Operating
Wemersive,https://www.crunchbase.com/organization/wemersive,"Hardware, Media and Entertainment, Information Technology, Consumer Electronics, Software, Mobile","Los Angeles, California, United States","Wemersive designs, builds and delivers end-to-end 360ŒÁ VR/AR/MR solutions on mobile, web and HMD.","20,389",5/1/12,,1,1/24/17,500000,Seed,500000,Operating
Prattle Analytics,https://www.crunchbase.com/organization/prattle,"Data and Analytics, Software, Financial Services","St Louis, Missouri, United States",Prattle is a provider of tradable textual analytics.,"11,733",1/1/13,,1,1/24/17,3300000,Seed,3300000,Operating
NAZAR,https://www.crunchbase.com/organization/nazar,"Data and Analytics, Software","San Francisco, California, United States",Nazar develops agentless database performance monitoring SaaS which is used for empowering IT teams.,"11,595",1/1/14,,4,1/24/17,150000,Seed,422500,Operating
Reachify,https://www.crunchbase.com/organization/reachify,"Information Technology, Software, Internet Services","New York, New York, United States",Business Software Decisions. Simplified.,"19,128",1/1/15,,4,1/24/17,1500000,Seed,1750000,Operating
Crowd Cow,https://www.crunchbase.com/organization/crowd-cow,Food and Beverage,"Seattle, Washington, United States",Crowd Cow lets you buy a cow with friends.,"10,582",1/1/15,,1,1/24/17,2000000,Seed,2000000,Operating
Hull,https://www.crunchbase.com/organization/hull,"Software, Sales and Marketing","Atlanta, Georgia, United States","Hull lets you transform, enrich and synchronize customer data between all your SaaS services","5,323",6/1/12,,2,1/26/17,2600000,Seed,2600000,Operating
Simple-Fill,https://www.crunchbase.com/organization/simple-fill-inc,"Natural Resources, Energy, Transportation","Columbus, Ohio, United States",Simple-Fill: Changing the way America fuels its vehicles,"18,431",1/1/13,,12,1/26/17,6231,Seed,2243703,Operating
Jiobit,https://www.crunchbase.com/organization/jio-inc,"Hardware, Consumer Electronics, Government and Military","Chicago, Illinois, United States",Jiobit is creating the world's smallest and longest self learning location tracking technology - starting with kids.,"43,855",1/1/15,,2,1/26/17,3000000,Seed,4200000,Operating
"HotEnd Works, LLC.",https://www.crunchbase.com/organization/hotend-works-llc,Real Estate,"Elyria, Ohio, United States","HotEnd Works, LLC. specializes in Additive Manufacturing of Advanced Ceramic materials such as Alumina, Silicon Carbide, and others.","50,625",5/1/13,,2,1/27/17,40000,Seed,65000,Operating
UberCloud,https://www.crunchbase.com/organization/ubercloud,"Commerce and Shopping, Information Technology, Software, Internet Services","Los Altos, California, United States","UberCloud is the online community, marketplace & softwaree container factory for technical computing & SaaS in public and private clouds","7,473",6/26/14,,2,1/27/17,1700000,Seed,1700000,Operating
LifeSource Health,https://www.crunchbase.com/organization/lifesource-health,Health Care,"Syracuse, New York, United States",Life Source Health Incorporated is a company that is working to provide cutting edge software applications.,"26,204",1/1/15,,1,1/29/17,350000,Seed,350000,Operating
Voray,https://www.crunchbase.com/organization/voray,"Commerce and Shopping, Media and Entertainment, Events, Community and Lifestyle, Sales and Marketing, Professional Services, Advertising","New York, New York, United States",More authentic professional networking,"6,641",1/1/14,,2,1/30/17,4000000,Seed,5000000,Operating
Leaseful,https://www.crunchbase.com/organization/leaseful,Real Estate,"Dallas, Texas, United States",Leaseful is the first peer-to-peer marketplace for college subleasing.,"24,981",8/5/14,,1,1/30/17,300000,Seed,300000,Operating
EntryPoint,https://www.crunchbase.com/organization/entrypoint,"Hardware, Media and Entertainment, Information Technology, Consumer Electronics, Software, Content and Publishing","New York, New York, United States","Entrypoint offers a powerful opportunity for creatives to easily make and share immersive stories, unlocking the potential of WebVR","8,401",1/1/15,,1,1/30/17,2000000,Seed,2000000,Operating
Resource,https://www.crunchbase.com/organization/resource-2,Software,"San Francisco, California, United States",A new way for companies and candidates to communicate,"13,949",1/1/16,,1,1/30/17,1400000,Seed,1400000,Operating
Canopy Biosciences,https://www.crunchbase.com/organization/canopy-biosciences,,"St Louis, Missouri, United States",Canopy Biosciences aims to accelerate the commercialization of life science reagent tools and services through in-licensing.,"15,854",1/1/16,,1,1/30/17,2000000,Seed,2000000,Operating
"Sensu, Inc.",https://www.crunchbase.com/organization/sensu-inc,"Hardware, Information Technology, Software, Internet Services","Portland, Oregon, United States",Full-stack monitoring for dynamic operating environments,"15,249",1/30/17,,1,1/30/17,2500000,Seed,2500000,Operating
Swimlane,https://www.crunchbase.com/organization/swimlane,"Hardware, Information Technology, Consumer Electronics, Privacy and Security","Louisville, Colorado, United States","Swimlane security operations management software delivers purpose-built workflow tools, including automated incident response.","9,426",1/1/14,,2,1/31/17,3000000,Seed,4000000,Operating
Madstar Mobile,https://www.crunchbase.com/organization/madstar-mobile-llc,"Platforms, Hardware, Consumer Electronics, Software, Internet Services, Mobile","Southbury, Connecticut, United States",A telecommunications company providing cell service with national coverage on the same 3G & 4G LTE towers as other major wireless carriers.,"42,148",1/1/14,,1,1/31/17,1700000,Seed,1700000,Operating
Polly Portfolio,https://www.crunchbase.com/organization/polly-portfolio,Financial Services,"New York, New York, United States",Polly Portfolio is a digital investing platform that builds customized asset allocation strategies for sophisticated & professional users,"16,427",9/26/14,,3,1/31/17,245000,Seed,3147500,Operating
Radish,https://www.crunchbase.com/organization/radish-media-inc,"Apps, Media and Entertainment, Software, Content and Publishing, Mobile","New York, New York, United States","Radish is a new app for serialised fiction, designed for the mobile generation - a digital update of the Victorian idea of the serialised n","4,846",2/1/15,,1,1/31/17,3000000,Seed,3000000,Operating
Centiment,https://www.crunchbase.com/organization/centiment-2,"Science and Engineering, Media and Entertainment, Data and Analytics, Software, Artificial Intelligence","New York, New York, United States",Our A.I. engine learns human emotion helping you optimise audience engagement and predict potential profitability for any digital content.,"53,881",1/1/15,,2,1/31/17,50000,Seed,100500,Operating
BallotReady,https://www.crunchbase.com/organization/ballotready,"Data and Analytics, Financial Services, Lending and Investments, Mobile","Chicago, Illinois, United States","BallotReady is an online, non-partisan voter guide for local elections.","18,300",1/1/15,,5,1/31/17,780000,Seed,880000,Operating
Mothership Aeronautics,https://www.crunchbase.com/organization/mothership-aeronautics,,"South San Francisco, California, United States",High endurance autonomous aircraft,"31,768",8/28/16,,2,1/31/17,300000,Seed,325000,Operating
Anryze,https://www.crunchbase.com/organization/anryze,,"New York, New York, United States",A.I. powered sales analytics based on voice recognition,"29,256",1/1/17,,1,1/31/17,130000,Seed,130000,Operating
CloudKPI,https://www.crunchbase.com/organization/cloudkpi,"Data and Analytics, Software, Artificial Intelligence","California, United States, North America",CloudKPI is a SaaS analytics solution which consolidates key metrics to deliver business insight and predictive analytics.,"29,655",1/1/12,,1,2/1/17,150000,Seed,150000,Operating
Extraordinary Re,https://www.crunchbase.com/organization/extraordinary-re,"Financial Services, Lending and Investments","Princeton, New Jersey, United States",Building a platform to make insurance liabilities tradable and connect new insurance products to new capital sources,"17,421",1/1/13,,1,2/1/17,630000,Seed,630000,Operating
Property Meld,https://www.crunchbase.com/organization/property-meld,"Real Estate, Software","Rapid City, South Dakota, United States",A property management maintenance solution that streamlines and automates the maintenance process.,"30,151",5/1/14,,2,2/1/17,150000,Seed,330000,Operating
Mighty Audio,https://www.crunchbase.com/organization/mighty-4,"Hardware, Media and Entertainment, Consumer Electronics, Music and Audio","Venice, California, United States",Reimagining the music player for the streaming era,"6,504",7/1/15,,3,2/1/17,2000000,Seed,3125000,Operating
GoKid,https://www.crunchbase.com/organization/gokid,"Apps, Software, Transportation, Mobile","New York, New York, United States",The GoKid mobile app lets parents schedule and manage their childrens' transportation needs by easily setting up carpools.,"9,685",4/1/15,,1,2/1/17,1000000,Seed,1000000,Operating
Evolve App,https://www.crunchbase.com/organization/evolve-app,"Apps, Community and Lifestyle, Software","Boston, Massachusetts, United States","Advice in Love, powered by Machine Learning","14,176",7/1/15,,2,2/1/17,100000,Seed,1100000,Was Acquired
Breakaway Labs,https://www.crunchbase.com/organization/breakaway-labs,"Health Care, Mobile","Los Altos, California, United States",Breakaway helps people transform their habits to achieve their life goals.,"20,087",6/1/15,,1,2/1/17,1400000,Seed,1400000,Operating
Sunrise Health,https://www.crunchbase.com/organization/sunrise-health,"Science and Engineering, Data and Analytics, Software, Health Care, Artificial Intelligence","Baltimore, Maryland, United States",Sunrise Health has developed the first mobile app for anonymous group psychotherapy that uses AI to scale within enterprises.,"20,592",8/1/16,,2,2/1/17,120000,Seed,160000,Operating
Parsley Health,https://www.crunchbase.com/organization/parsley-health,Health Care,"New York, New York, United States","Parsley Health takes a functional, whole-person, and data driven approach to medicine and is redefining primary care.","11,391",1/15/16,,2,2/1/17,1400000,Seed,1400000,Operating
"Migo, Inc.",https://www.crunchbase.com/organization/migo,"Apps, Travel and Tourism, Software, Transportation, Mobile","Seattle, Washington, United States",Migo is a mobile search platform for on-demand personal transportation äóñ helping consumers find the best way from Point A to Point B.,"10,704",1/1/16,,2,2/1/17,1775000,Seed,2075000,Operating
University Circle Investments,https://www.crunchbase.com/organization/university-circle-investments,,"Cleveland, Ohio, United States","UCI Group manages long-term, superior risk adjusted investments. The fund focuses on fundamental, research-oriented stock selection.","52,669",2/1/17,,1,2/1/17,5000,Seed,5000,Operating
Manchester Atlantic,https://www.crunchbase.com/organization/manchester-atlantic,"Real Estate, Food and Beverage, Financial Services","New Jersey, United States, North America",Manchester Atlantic (MA) is one of the worldäó»s leading investment and advisory firms.,"17,604",2/1/17,,1,2/1/17,200000,Seed,200000,Operating
LabWorthy,https://www.crunchbase.com/organization/labworthy,,"Los Angeles, California, United States","Growth platform for B2B professional businesses (dental labs, optometrists) incorporating user reviews and NPS.","60,123",2/1/17,,1,2/1/17,200000,Seed,200000,Operating
Taxfyle,https://www.crunchbase.com/organization/tickmark-dba-taxfyle,"Platforms, Software, Professional Services, Financial Services, Mobile","Miami, Florida, United States",Tickmark develops disruptive accounting-based applications for iOS and Android platforms.,"4,247",8/1/15,,2,2/2/17,2000000,Seed,2225000,Operating
Marvelmind Robotics,https://www.crunchbase.com/organization/marvelmind-robotics,"Science and Engineering, Hardware, Navigation and Mapping, Software, Internet Services","Sunnyvale, California, United States","Marvelmind is a robotics company. We design, manufacture and sell robots and robotic systems.","28,297",8/1/16,,1,2/2/17,88000,Seed,88000,Operating
Datalogue,https://www.crunchbase.com/organization/datalogue,"Information Technology, Data and Analytics, Software, Artificial Intelligence","New York, New York, United States",Datalogue use Artificial Intelligence to Automate data preparation.,"8,372",1/1/16,,1,2/2/17,1500000,Seed,1500000,Operating
"Cien, Inc.",https://www.crunchbase.com/organization/cien-inc,Software,"Miami Beach, Florida, United States",Measure what Matters - AI Enabled App for Sales Productivity,"10,583",5/1/16,,1,2/2/17,1000000,Seed,1000000,Operating
ShopCo Technologies Corp,https://www.crunchbase.com/organization/shopco,"Apps, Commerce and Shopping, Information Technology, Software, Internet Services","San Francisco, California, United States",ShopCo Technologies is the parent company of the Shop.co universal cart browser extension.,"5,228",1/1/14,,3,2/3/17,7000000,Seed,9500000,Operating
Inbox Health,https://www.crunchbase.com/organization/iqcopay,"Health Care, Payments, Financial Services","Bridgeport, Connecticut, United States",Inbox Health provides patient billing and payments software and services.,"14,684",1/1/12,,3,2/6/17,1500000,Seed,1950000,Operating
Brandzooka,https://www.crunchbase.com/organization/brandzooka,"Media and Entertainment, Software, Sales and Marketing, Video, Advertising","Boulder, Colorado, United States",Brandzooka is the most powerful way to advertise with video online. We empower anyone to put videos in front of their exact target audience.,"7,615",1/1/15,,4,2/6/17,1500000,Seed,3060000,Operating
Micro C,https://www.crunchbase.com/organization/micro-c,Health Care,"Atlanta, Georgia, United States","Micro C, one of the Advanced Technology Development Center.","22,049",1/1/16,,2,2/6/17,700000,Seed,960000,Operating
Betagig,https://www.crunchbase.com/organization/betagig,"Apps, Hardware, Consumer Electronics, Software","Los Angeles, California, United States","Betagig is a , online marketplace, explore exciting roles in the field of your choice.","10,976",3/5/16,,2,2/6/17,1600000,Seed,1625000,Operating
Shelf Engine,https://www.crunchbase.com/organization/shelf-engine,,"Seattle, Washington, United States",A powerful prediction engine that recommends what to order everyday.,"15,488",1/1/17,,1,2/6/17,800000,Seed,800000,Operating
GlucanBio,https://www.crunchbase.com/organization/glucanbio,"Biotechnology, Science and Engineering","St Louis, Missouri, United States","GlucanBio, an early stage company that repurposes non-food biomass into high-value chemicals and biomaterials","29,011",1/1/12,,2,2/7/17,100000,Seed,150000,Operating
Think.Eat.Live,https://www.crunchbase.com/organization/think-eat-live,Food and Beverage,"Missouri City, Missouri, United States","Think.Eat.Live, a company making high-protein, vitamin-rich äóìsuper flouräóù from sunflower seeds.","32,901",1/1/12,,1,2/7/17,100000,Seed,100000,Operating
Boosterville,https://www.crunchbase.com/organization/boosterville,"Sales and Marketing, Mobile","Zionsville, Indiana, United States","Boosterville, a card-linked loyalty platform, connects merchants and cause-driven buyers together to raise funds for NPOs.","16,437",1/1/13,,2,2/7/17,830000,Seed,926000,Operating
SecuredTouch,https://www.crunchbase.com/organization/securedtouch,"Biotechnology, Science and Engineering, Information Technology, Data and Analytics, Software, Payments, Privacy and Security, Financial Services, Mobile","Palo Alto, California, United States",Solving real-world authentication problems to support digital transformation into the äóìmobile eraäóù,"5,991",1/1/14,,2,2/7/17,3500000,Seed,3500000,Operating
Keymetrics,https://www.crunchbase.com/organization/keymetrics,"Apps, Science and Engineering, Data and Analytics, Software","New York, New York, United States",Keymetrics offers innovative monitoring for Node.js based on PM2.,"9,662",1/1/14,,3,2/7/17,2000000,Seed,2210000,Operating
Tenka Labs,https://www.crunchbase.com/organization/tenka-labs,"Science and Engineering, Hardware, Consumer Goods, Education","Sausalito, California, United States",Tenka Labs develops innovative STEM toys for Makers ages 8 and up.,"15,397",1/1/16,,1,2/7/17,2100000,Seed,2100000,Operating
Symple,https://www.crunchbase.com/organization/symple,"Apps, Hardware, Commerce and Shopping, Data and Analytics, Software, Payments, Internet Services, Financial Services, Artificial Intelligence, Mobile","San Francisco, California, United States",Symple is a cloud platform for business payments.,"14,798",12/1/15,,1,2/7/17,120000,Seed,120000,Operating
Hashed Health,https://www.crunchbase.com/organization/hashed-health,Information Technology,"Nashville, Tennessee, United States",Hashed Health is leading a consortium of healthcare companies focused on accelerating meaningful innovation using blockchain and DLT.,"10,782",1/1/16,,1,2/7/17,1800000,Seed,1800000,Operating
uBack,https://www.crunchbase.com/organization/uback,,"Chicago, Illinois, United States",uBack offers a mobile application that is focused to connect supporters with nonprofit campaigns.,"19,248",10/1/14,,1,2/8/17,2000000,Seed,2000000,Operating
Digital Mortar,https://www.crunchbase.com/organization/digital-mortar,"Hardware, Commerce and Shopping, Data and Analytics, Software","San Francisco, California, United States","Digital Mortar enables scalable, accurate, full path customer analytics for physical retail environments.","17,045",1/1/16,,1,2/8/17,150000,Seed,150000,Operating
Capsule8,https://www.crunchbase.com/organization/capsule8,"Information Technology, Privacy and Security","Brooklyn, New York, United States","Container-Aware, Real-time Threat Protection for Linux","7,171",10/1/16,,1,2/8/17,2500000,Seed,2500000,Operating
Agent.ai,https://www.crunchbase.com/organization/agent-ai-ai-enhanced-customer-service,,"Mountain View, California, United States","Agent.ai enables businesses to respond to customers faster, 24/7/365, while helping agents become more productive.","11,284",11/1/15,,1,2/8/17,2700000,Seed,2700000,Operating
ComicBlitz LLC,https://www.crunchbase.com/organization/comicblitz-llc,"Commerce and Shopping, Media and Entertainment, Content and Publishing","Los Angeles, California, United States",The Netflix of digital comic books.,"32,237",4/14/14,,1,2/9/17,101000,Seed,101000,Operating
Float,https://www.crunchbase.com/organization/float-4,"Data and Analytics, Software, Financial Services, Lending and Investments, Artificial Intelligence","Los Angeles, California, United States",Float is a mobile-first credit experience that offers small dollar credit lines built on bank and alternative data.,"8,061",1/1/15,,3,2/9/17,3000000,Seed,4000000,Operating
ERNIT,https://www.crunchbase.com/organization/ernit,"Apps, Software, Financial Services, Mobile","New York, New York, United States","ERNIT is the worldäó»s first smart piggy bank consisting of a connected, physical piggy bank and an app.","12,620",1/1/15,,6,2/9/17,700000,Seed,1177000,Operating
Filegear,https://www.crunchbase.com/organization/filegear,"Apps, Information Technology, Software, Mobile","San Francisco, California, United States",Filegear provides all the cool features of cloud storage privately from your home at a fraction of the cost with Filegear apps and device,"12,982",2/15/17,,1,2/9/17,1200000,Seed,1200000,Operating
